Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"MERRIMACK, NH",Harmony Health Care Institute,Certificate,Private For-Profit,Suburban,Small,71%,$43k,
"WEST PALM BEACH, FL",HCI College,Certificate,Private For-Profit,Suburban,Small,44%,$29k,
"PHILADELPHIA, PA",Health and Technology Training Institute,Certificate,Private Nonprofit,City,Small,,$25k,
"MEMPHIS, TN",Health-Tech Institute of Memphis,Certificate,Private For-Profit,City,Small,,,
"ANDOVER, KS",Heartland Welding Academy,Certificate,Private For-Profit,Suburban,Small,,$21k,
"STILLWATER, OK",Hello Gorgeous Barbers Stillwater's School of Barbering,Certificate,Private For-Profit,Town,Small,,,
"HILLSDALE, MI",Hillsdale College,Four,Private Nonprofit,Town,Small,86%,,
"VALLEJO, CA",Hinton Barber and Beauty College,Certificate,Private For-Profit,City,Small,42%,$16k,
"LILBURN, GA",Hogan Institute of Cosmetology and Esthetics,Certificate,Private For-Profit,Suburban,Small,72%,$30k,
"BALTIMORE, MD",Holistic Massage Training Institute,Certificate,Private For-Profit,City,Small,,,
"LOS ANGELES, CA",Hollywood Cultural College,Certificate,Private For-Profit,City,Small,,,
"INDIANAPOLIS, IN",Horizon University,Certificate,Private Nonprofit,Suburban,Small,69%,,$66k
"WATERBURY, CT",Industrial Management Training Institute,Certificate,Private For-Profit,City,Small,80%,$49k,$55k
"HUNTINGTON, WV",Huntington School of Beauty Culture,Certificate,Private For-Profit,Suburban,Small,51%,$11k,$25k
"HOT SPRINGS, AR",Hot Springs Beauty College,Certificate,Private For-Profit,City,Small,57%,$11k,$22k
"KANSAS CITY, MO",House of Heavilin Beauty College-Kansas City,Certificate,Private For-Profit,City,Small,39%,$21k,$17k
"CROMWELL, CT",Holy Apostles College and Seminary,Four,Private Nonprofit,Suburban,Small,43%,$16k,
"POMPANO BEACH, FL",Hope College of Arts and Sciences,Two,Private For-Profit,City,Small,34%,$14k,
"ROSEVILLE, CA",Hoss Lee Academy,Certificate,Private For-Profit,Suburban,Small,80%,$24k,
"HOUSTON, TX",Houston Barber School,Certificate,Private For-Profit,Suburban,Small,88%,$15k,
"CAMBRIDGE, MA",Hult International Business School,Four,Private Nonprofit,City,Small,75%,$42k,
"HUNTSVILLE, AL",Huntsville Bible College,Four,Private Nonprofit,City,Small,49%,$12k,
"CHICAGO, IL",HVAC Technical Institute,Certificate,Private For-Profit,City,Small,76%,$23k,
"KAHULUI, HI",IBS School of Cosmetology and Massage,Certificate,Private For-Profit,City,Small,74%,$8k,
"SAN DIEGO, CA",ICOHS College,Certificate,Private Nonprofit,City,Small,60%,$59k,
"HENDERSONVILLE, TN",Image Maker Beauty Institute,Certificate,Private For-Profit,Suburban,Small,80%,$15k,
"SACRAMENTO, CA",Independent Training & Apprenticeship Program,Certificate,Private For-Profit,City,Small,87%,$22k,
"FLAGSTAFF, AZ",Indian Bible College,Certificate,Private Nonprofit,City,Small,50%,$5k,
"CARMEL, IN",Indiana Wellness College,Certificate,Private For-Profit,City,Small,,,
"LAFAYETTE, LA",Infinity College,Certificate,Private For-Profit,City,Small,71%,,
"HOLLY HILL, FL",Installer Institute,Certificate,Private For-Profit,Suburban,Small,93%,$25k,
"NEW YORK, NY",Jewish Theological Seminary of America,Four,Private Nonprofit,City,Small,88%,$30k,$93k
"NEW CUMBERLAND, WV",John D Rockefeller IV Career Center,Certificate,Public,Rural,Small,,$7k,$43k
"CHANDLER, AZ",International Baptist College and Seminary,Four,Private Nonprofit,City,Small,61%,$17k,$40k
"REYNOLDSVILLE, PA",Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Certificate,Public,Rural,Small,45%,$8k,$37k
"ASHLAND, VA",Institute of Advanced Medical Esthetics,Certificate,Private For-Profit,Suburban,Small,,$11k,$31k
"SIOUX CITY, IA",Iowa School of Beauty-Sioux City,Certificate,Private For-Profit,City,Small,56%,$10k,$27k
"CAGUAS, PR",IVAEM College,Certificate,Private For-Profit,City,Small,66%,$9k,$20k
"MAYAGUEZ, PR",Institucion Chaviano de Mayaguez,Certificate,Private For-Profit,City,Small,58%,$4k,$13k
"SAN ANTONIO, TX",Institute of Allied Healthcare,Certificate,Private For-Profit,City,Small,,$5k,
"ATLANTA, GA",Institute of Medical Ultrasound,Certificate,Private For-Profit,City,Small,26%,$54k,
"CHANDLER, AZ",International Barber College,Certificate,Private For-Profit,City,Small,75%,$18k,
"AIRWAY HEIGHTS, WA",International Beauty Education Center,Certificate,Private For-Profit,Suburban,Small,77%,$18k,
"LOS ANGELES, CA",International College of Beauty Arts & Sciences,Certificate,Private For-Profit,City,Small,93%,$21k,
"CHESTERLAND, OH",International Culinary Arts and Sciences Institute,Certificate,Private For-Profit,Rural,Small,55%,,
"WETHERSFIELD, CT",International Institute of Cosmetology,Certificate,Private For-Profit,Suburban,Small,73%,$17k,
"NEWPORT, RI",IYRS School of Technology & Trades,Certificate,Private Nonprofit,Suburban,Small,79%,$18k,
"DANVILLE, CA",J D Academy of Salon and Spa,Certificate,Private For-Profit,Suburban,Small,74%,$33k,
"NEW IBERIA, LA",J's Barber College,Certificate,Private For-Profit,Town,Small,47%,$16k,
"PETERSBURG, VA",Jazz Barber and Hairstyling Academy,Certificate,Private For-Profit,Suburban,Small,68%,$9k,
"OKLAHOMA CITY, OK",JB's Hair Design and Barber College,Certificate,Private For-Profit,City,Small,68%,$18k,
"OSSINING, NY",Kehilath Yakov Rabbinical Seminary,Four,Private Nonprofit,Rural,Small,57%,$3k,$36k
"LONG BEACH, CA",John Wesley International Barber and Beauty College,Certificate,Private For-Profit,City,Small,77%,$13k,$24k
"BARAGA, MI",Keweenaw Bay Ojibwa Community College,Certificate,Public,Rural,Small,19%,$529,$22k
"JACKSON, KY",Kentucky Mountain Bible College,Four,Private Nonprofit,Rural,Small,53%,$10k,$21k
"SOUTH BEND, IN",John Patrick University of Health and Applied Sciences,Four,Private For-Profit,City,Small,78%,$23k,
"SALEM, OR",Johnny Matthew's Hairdressing Training School,Certificate,Private For-Profit,City,Small,54%,$25k,
"PEMBROKE PINES, FL",Jose Maria Vargas University,Certificate,Private For-Profit,Suburban,Small,91%,,
"FORT LAUDERDALE, FL",JT's Cuts Academy,Certificate,Private For-Profit,Suburban,Small,,$28k,
"BOSTON, MA",Jupiter Beauty Academy,Certificate,Private For-Profit,City,Small,66%,$12k,
"SIOUX FALLS, SD",Kairos University,Four,Private Nonprofit,City,Small,,,
"PEMBROKE PINES, FL",Kaizen Beauty Academy,Certificate,Private For-Profit,Suburban,Small,91%,,
"OVERLAND PARK, KS",Kansas Christian College,Four,Private Nonprofit,City,Small,17%,$16k,
"LOS ANGELES, CA",KC Beauty Academy,Certificate,Private For-Profit,City,Small,,$18k,
"JACKSONVILLE, FL",KCK Beauty & Barber Academy,Certificate,Private For-Profit,City,Small,85%,$19k,
"KEENE, NH",Keene Beauty Academy,Certificate,Private For-Profit,Town,Small,67%,$15k,
"INDIANAPOLIS, IN",Kenny's Academy of Barbering,Certificate,Private For-Profit,City,Small,24%,$16k,
"RICHMOND, KY",Kentucky Horseshoeing School,Certificate,Private For-Profit,Town,Small,91%,$30k,
"LAKEWOOD, NJ",Keser Torah-Mayan Hatalmud,Four,Private Nonprofit,Suburban,Small,27%,$10k,
"TUCSON, AZ",Kino College,Certificate,Private For-Profit,Suburban,Small,92%,$24k,
"LAS VEGAS, NV",L Makeup Institute,Certificate,Private For-Profit,City,Small,74%,$28k,
"MEDFORD, MA",Lawrence Memorial Hospital School of Nursing,Two,Private Nonprofit,Suburban,Small,74%,,$101k
"WILLIAMSVILLE, NY",Leon Studio One School of Beauty Knowledge,Certificate,Private For-Profit,Suburban,Small,75%,$19k,$26k
"LAWRENCEBURG, TN",Lawrenceburg Technical College,Certificate,Private For-Profit,Town,Small,,$11k,$25k
"LANSDALE, PA",Lansdale School of Cosmetology Inc,Certificate,Private For-Profit,Suburban,Small,45%,$17k,$25k
"DAVENPORT, IA",La James International College-Davenport,Certificate,Private For-Profit,City,Small,58%,$21k,$23k
"CAMDEN, SC",LeGrand Institute of Cosmetology Inc,Certificate,Private For-Profit,Town,Small,68%,$12k,$23k
"HOUMA, LA",LaSalle Tech,Certificate,Private For-Profit,City,Small,57%,$10k,$21k
"PORT HURON, MI",Lakewood School of Therapeutic Massage,Certificate,Private For-Profit,Suburban,Small,,,$17k
"BOWLING GREEN, KY",Lindsey Institute of Cosmetology,Certificate,Private For-Profit,City,Small,82%,$14k,$15k
"ERIE, PA",Lake Erie College of Osteopathic Medicine,Certificate,Private Nonprofit,City,Small,,,
"LAREDO, TX",Laredo CHI Academy Beauty School,Certificate,Private For-Profit,City,Small,79%,$10k,
"LA PUENTE, CA",Latin American Bible Institute,Two,Private Nonprofit,Suburban,Small,28%,$9k,
"GREENACRES, FL",Latin Beauty Academy,Certificate,Private For-Profit,Suburban,Small,76%,$16k,
"SELMA, CA",Lawrence & Company College of Cosmetology,Certificate,Private For-Profit,Town,Small,69%,$19k,
"LUFKIN, TX",Legends Barber College,Certificate,Private For-Profit,Town,Small,,$11k,
"SCHNECKSVILLE, PA",Lehigh Career & Technical Institute,Certificate,Public,Rural,Small,,,
"BETHLEHEM, PA",Lehigh Valley Barber School,Certificate,Private For-Profit,City,Small,73%,$14k,
"NEW YORK, NY",Lia Schorr Institute of Cosmetic Skin Care Training,Certificate,Private For-Profit,City,Small,9%,$7k,
"CARPINTERIA, CA",Lionel University,Two,Private For-Profit,Suburban,Small,43%,$30k,
"VAN NUYS, CA",Los Angeles Academy of Figurative Art,Certificate,Private For-Profit,City,Small,68%,,
"LEWISTON, ME",Maine College of Health Professions,Two,Private Nonprofit,City,Small,75%,$20k,$80k
"SHREVEPORT, LA",Louisiana State University Health Sciences Center-Shreveport,Four,Public,City,Small,100%,,$75k
"BROOKLYN, NY",Machzikei Hadath Rabbinical College,Four,Private Nonprofit,City,Small,40%,$8k,$42k
"MIAMI, FL",M-DCPS The English Center,Certificate,Public,City,Small,12%,,$31k
"NEW YORK, NY",Manhattan School of Music,Four,Private Nonprofit,City,Small,74%,$48k,$27k
"MANCHESTER, TN",Love Beauty School Inc,Certificate,Private For-Profit,Town,Small,75%,$8k,$18k
"EUNICE, LA",Louisiana Academy of Beauty,Certificate,Private For-Profit,Town,Small,72%,$21k,$17k
"LOS ANGELES, CA",Los Angeles Pacific College,Certificate,Private For-Profit,City,Small,84%,,
"SAN DIMAS, CA",Los Angeles Pacific University,Four,Private Nonprofit,Suburban,Small,46%,$20k,
"RICHMOND, VA",Lotus Professional College,Certificate,Private For-Profit,Suburban,Small,89%,,
"LOWELL, MA",Lowell Academy Hairstyling Institute,Certificate,Private For-Profit,Suburban,Small,62%,$17k,
"NEWPORT NEWS, VA",Luckes Beauty Academy LLC,Certificate,Private For-Profit,City,Small,,$15k,
"FARGO, ND",Lynnes Welding Training,Certificate,Private For-Profit,City,Small,87%,$23k,
"MADERA, CA",Madera Community College,Two,Public,Rural,Medium,33%,-$489,
"CUMMING, GA",MAK Beauty Institute,Certificate,Private For-Profit,Suburban,Small,75%,$6k,
"HONOLULU, HI",Makana Esthetics Wellness Academy,Certificate,Private For-Profit,City,Small,95%,$14k,
"FAYETTEVILLE, NC",Manna University,Four,Private Nonprofit,City,Small,51%,$20k,
"BRENHAM, TX",Manuel and Theresa's School of Hair Design,Certificate,Private For-Profit,Town,Small,79%,$16k,
"BRYAN, TX",Manuel and Theresa's School of Hair Design-Bryan,Certificate,Private For-Profit,City,Small,86%,$14k,
"VICTORIA, TX",Manuel and Theresa's School of Hair Design-Victoria,Certificate,Private For-Profit,City,Small,77%,$15k,
"LEWES, DE",Margaret H Rollins School of Nursing at Beebe Medical Center,Certificate,Private Nonprofit,Town,Small,,,$72k
"WATERFORD, MI",Marketti Academy of Cosmetology,Certificate,Private For-Profit,Suburban,Small,73%,,$14k
"MIAMI, FL",Mariano Moreno Culinary Institute,Certificate,Private For-Profit,City,Small,42%,$14k,
"MARTINSBURG, WV",Martinsburg College,Certificate,Private For-Profit,Suburban,Medium,67%,$11k,
"COLUMBUS, OH",Mason Anthony School of Cosmetology Arts & Sciences,Certificate,Private For-Profit,City,Small,93%,,
"QUINCY, MA",Massachusetts School of Barbering,Certificate,Private For-Profit,Suburban,Small,76%,$16k,
"MEMPHIS, TN",Massage Institute of Memphis,Certificate,Private For-Profit,City,Small,74%,$11k,
"KAILUA KONA, HI",Mauna Loa Helicopters,Certificate,Private For-Profit,Town,Small,57%,$112k,
"MCALLEN, TX",MCI,Certificate,Private For-Profit,City,Small,84%,$22k,
"MONSEY, NY",Mechon L'hoyroa,Four,Private Nonprofit,Suburban,Small,45%,,
"HIALEAH, FL",Med College,Two,Private For-Profit,Suburban,Small,93%,$66k,
"RICHMOND, KY",Medical Career & Technical College,Certificate,Private For-Profit,Town,Small,90%,$22k,
"ROSEVILLE, CA",Medical Career College of Northern California,Certificate,Private For-Profit,City,Small,,$28k,
"DANVILLE, VA",Medical Solutions Academy,Certificate,Private For-Profit,Town,Small,94%,,
"BROWNSVILLE, TX",Mei Barber School,Certificate,Private For-Profit,City,Small,,$5k,
"NEW YORK, NY",Memorial Hospital School of Radiation Therapy Technology,Certificate,Private Nonprofit,City,Small,,,
"CEDAR RAPIDS, IA",Mercy-St Luke's School of Radiologic Technology,Certificate,Private Nonprofit,City,Small,,,
"CLEVELAND, OH",Meryma'at Barber College,Certificate,Private For-Profit,City,Small,81%,$4k,
"BROOKLYN, NY",Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Two,Private Nonprofit,City,Small,67%,$9k,
"BROOKLYN, NY",Mesivta Torah Vodaath Rabbinical Seminary,Four,Private Nonprofit,City,Small,35%,$5k,
"KEYSER, WV",Mineral County Vocational Technical Center,Certificate,Public,Town,Small,90%,$2k,$46k
"RACINE, WI",Midwest College of Oriental Medicine-Racine,Certificate,Private For-Profit,City,Small,52%,,$44k
"SKOKIE, IL",Midwest College of Oriental Medicine-Skokie,Certificate,Private For-Profit,City,Small,66%,,$44k
"BROOKLYN, NY",Mirrer Yeshiva Cent Institute,Two,Private Nonprofit,City,Small,13%,$12k,$41k
"MIDWEST CITY, OK",Mid-Del Technology Center,Certificate,Public,Suburban,Small,62%,$12k,$33k
"GRAND PRAIRIE, TX",Mid Cities Barber College,Certificate,Private For-Profit,Suburban,Small,47%,$10k,$25k
"NEW YORK, NY",Mesivtha Tifereth Jerusalem of America,Four,Private Nonprofit,City,Small,14%,$10k,
"DETROIT, MI",Metro Detroit Barber College,Certificate,Private Nonprofit,City,Small,77%,$16k,
"IRVING, TX",Michael's Barber & Hair Stylist Academy,Certificate,Private For-Profit,City,Small,49%,$24k,
"MEMPHIS, TN",Mid-South Christian College,Four,Private Nonprofit,City,Small,59%,$12k,
"MIDFIELD, AL",Midfield Institute of Cosmetology,Certificate,Private Nonprofit,Suburban,Small,,$11k,
"TOPEKA, KS",Midwest Barber College,Certificate,Private For-Profit,City,Small,50%,$18k,
"DORAL, FL",Millennia Atlantic University,Four,Private For-Profit,City,Small,56%,,
"MADISON, TN",Mind Body Institute,Certificate,Private For-Profit,City,Small,82%,$23k,
"SAN FRANCISCO, CA",Minerva University,Four,Private Nonprofit,City,Small,78%,,
"DELBARTON, WV",Mingo Extended Learning Center,Certificate,Public,Rural,Small,,$1k,
"MISSION, TX",Mission Beauty Institute,Certificate,Private For-Profit,City,Small,67%,$3k,
"OVERLAND PARK, KS",Mitsu Sato Hair Academy,Certificate,Private For-Profit,City,Small,78%,$10k,
"SACRAMENTO, CA",MIXED Institute of Cosmetology & Barber,Certificate,Private For-Profit,Suburban,Small,69%,$22k,
"SOUTH HACKENSACK, NJ",Mobile Technical Training,Certificate,Private For-Profit,Suburban,Small,82%,$14k,
"SAINT BENEDICT, OR",Mount Angel Seminary,Four,Private Nonprofit,Rural,Small,60%,,$57k
"DENVER, CO",Montessori Education Center of the Rockies,Certificate,Private Nonprofit,City,Small,84%,$13k,$45k
"CHARLESTON, WV",Mountain State School of Massage,Certificate,Private For-Profit,City,Small,78%,$26k,$28k
"LINCOLN, NE",Myotherapy Institute,Two,Private For-Profit,City,Small,76%,$32k,$28k
"HILLSIDE, IL",Ms Roberts Academy of Beauty Culture,Certificate,Private For-Profit,Suburban,Small,68%,$9k,$25k
"COOKEVILLE, TN",Mr Wayne's School of Unisex Hair Design,Certificate,Private For-Profit,Town,Small,66%,$16k,$24k
"OXNARD, CA",Modern Beauty Academy,Certificate,Private For-Profit,City,Small,62%,$12k,$22k
"CHUBBUCK, ID",Nathan Layne Institute of Cosmetology,Certificate,Private For-Profit,Suburban,Small,59%,$22k,$22k
"CINCINNATI, OH",Moler Hollywood Beauty Academy,Certificate,Private For-Profit,City,Small,95%,$10k,$18k
"SACRAMENTO, CA",My Le's Beauty College,Certificate,Private For-Profit,Suburban,Small,90%,,$15k
"BILLINGS, MT",Montana Bible College,Certificate,Private Nonprofit,Suburban,Small,,,
"MOUNT VERNON, NY",Montefiore School of Nursing,Two,Private Nonprofit,Suburban,Small,69%,,
"FITCHBURG, MA",Monty Tech,Certificate,Public,Suburban,Small,75%,$35k,
"ATLANTA, GA",Morris Brown College,Four,Private Nonprofit,City,Small,39%,$19k,
"TROY, MI",Motion Picture Institute,Certificate,Private For-Profit,City,Small,,,
"HOUSTON, TX",Mystros Barber Academy,Certificate,Private Nonprofit,City,Small,,,
"NASHVILLE, TN",Nashville Film Institute,Certificate,Private For-Profit,City,Small,84%,$24k,
"WASHINGTON, DC",National Conservatory of Dramatic Arts,Certificate,Private Nonprofit,City,Small,,,
"DENVER, CO",National Institute for Medical Assistant Advancement (NIMAA),Certificate,Private Nonprofit,City,Small,85%,$11k,
"ORLANDO, FL",National Personal Training Institute,Certificate,Private For-Profit,Suburban,Small,98%,$13k,
"BALTIMORE, MD",Ner Israel Rabbinical College,Four,Private Nonprofit,Suburban,Small,39%,$6k,$66k
"NEWARK, NJ",New Community Career & Technical Institute,Certificate,Private Nonprofit,City,Small,49%,$6k,$40k
"NEW YORK CITY, NY",Neighborhood Playhouse School of the Theater,Certificate,Private Nonprofit,City,Small,53%,$33k,$29k
"JOPLIN, MO",New Dimensions School of Hair Design,Certificate,Private For-Profit,City,Small,,$9k,$28k
"MIAMI, FL",New Concept Massage and Beauty School,Certificate,Private For-Profit,Suburban,Small,86%,$14k,$20k
"NEOSHO, MO",Neosho Beauty College,Certificate,Private For-Profit,Town,Small,50%,$8k,$18k
"TAMPA, FL",National Personal Training Institute-Tampa,Certificate,Private For-Profit,Suburban,Small,,$14k,
"PORTLAND, OR",National University of Natural Medicine,Four,Private Nonprofit,City,Small,,,
"NEW ORLEANS, LA",NationsUniversity,Certificate,Private Nonprofit,City,Small,88%,,
"CLUTE, TX",Natural Images Beauty College,Certificate,Private For-Profit,Suburban,Small,40%,$21k,
"ABILENE, TX",Neecee's Barber College,Certificate,Private For-Profit,City,Small,44%,$18k,
"SAN JUAN, PR",Neo-Esthetique European Institute,Certificate,Private For-Profit,City,Small,58%,$7k,
"CALUMET CITY, IL",Networks Barber College,Certificate,Private For-Profit,Suburban,Small,11%,$18k,
"PINE BLUFF, AR",New Beginnings Beauty Academy,Certificate,Private For-Profit,Town,Small,7%,$19k,
"MALDEN, MA",New England Hair Academy,Certificate,Private For-Profit,Suburban,Small,76%,$20k,
"NASHUA, NH",New Hampshire Institute for Therapeutic Arts,Certificate,Private For-Profit,City,Small,97%,$21k,
"NEW ORLEANS, LA",New Orleans Baptist Theological Seminary,Certificate,Private Nonprofit,City,Small,22%,,
"MOSCOW, ID",New Saint Andrews College,Four,Private Nonprofit,Town,Small,79%,,
"ISLANDIA, NY",New York Institute of Beauty,Certificate,Private For-Profit,Suburban,Small,85%,$34k,
"WHITE PLAINS, NY",New York School of Esthetics & Day Spa,Certificate,Private For-Profit,City,Small,91%,$16k,
"NEWBURGH, NY",Orange Ulster BOCES-Practical Nursing Program,Certificate,Public,City,Small,,$24k,$58k
"ALVA, OK",Northwest Technology Center-Alva,Certificate,Public,Rural,Small,,$10k,$33k
"OPELOUSAS, LA",Opelousas School of Cosmetology,Certificate,Private For-Profit,Town,Small,33%,$17k,$26k
"LORAIN, OH",Northern Institute of Cosmetology,Certificate,Private For-Profit,Suburban,Small,52%,$4k,$22k
"SAN ANTONIO, TX",Nuvani Institute,Certificate,Private For-Profit,City,Small,83%,$20k,$19k
"NORTON SHORES, MI",Nuvo College of Cosmetology,Certificate,Private For-Profit,City,Small,35%,$20k,$18k
"HOUMA, LA",Omega Institute of Cosmetology,Certificate,Private For-Profit,City,Small,86%,$11k,$15k
"BROOKLYN, NY",New York Seminary,Certificate,Private Nonprofit,City,Small,97%,$11k,
"WASHINGTON, DC",NewU University,Four,Private Nonprofit,City,Small,,,
"CHARLOTTE, NC",No Grease Barber School,Certificate,Private For-Profit,City,Small,92%,$20k,
"UNIVERSAL CITY, TX",Northeast Lakeview College,Two,Public,Suburban,Medium,12%,$5k,
"WARREN, PA",Northern Pennsylvania Regional College,Two,Public,Town,Small,,,
"PINE BLUFF, AR",Northern Technical College,Certificate,Private For-Profit,Town,Small,54%,$15k,
"NEW TOWN, ND",Nueta Hidatsa Sahnish College,Two,Public,Rural,Small,16%,$4k,
"WILLISTON, VT",O'Briens Aveda Institute,Certificate,Private For-Profit,Suburban,Small,61%,$25k,
"RIALTO, CA",Oak Valley College,Four,Private Nonprofit,Suburban,Small,42%,$6k,
"MONSEY, NY",Ohel Margulia Seminary,Certificate,Private Nonprofit,Suburban,Small,99%,$8k,
"HUBER HEIGHTS, OH",Ohio Institute of Allied Health,Certificate,Private Nonprofit,Suburban,Small,74%,$38k,
"PEEKSKILL, NY",Ohr Hameir Theological Seminary,Two,Private Nonprofit,Suburban,Small,32%,,
"FAYETTEVILLE, NC",One Stop Academy,Certificate,Private For-Profit,Suburban,Small,,$7k,
"HONOLULU, HI",Pacific Rim Christian University,Four,Private Nonprofit,City,Small,83%,$23k,$41k
"NORTH HAVEN, CT",Paul Mitchell the School-North Haven,Certificate,Private For-Profit,Suburban,Small,64%,$14k,$31k
"PORTSMOUTH, OH",Paramount Beauty Academy,Certificate,Private For-Profit,Town,Small,78%,$18k,$21k
"MANGILAO, GU",Pacific Islands University,Four,Private Nonprofit,Suburban,Small,42%,$7k,$21k
"ROANOKE, VA",Paul Mitchell the School-Roanoke,Certificate,Private For-Profit,City,Small,50%,$17k,$19k
"NEWPORT, OR",Oregon Coast Community College,Two,Public,Town,Small,32%,$12k,
"SEYMOUR, CT",Oxford Academy of Hair Design Inc,Certificate,Private For-Profit,Suburban,Small,75%,$13k,
"MEDFORD, OR",Pacific Bible College,Two,Private Nonprofit,City,Small,11%,,
"KENNEWICK, WA",Pacific Northwest Christian College,Two,Private Nonprofit,City,Small,56%,$6k,
"BRIDGEPORT, CT",Paier College,Four,Private For-Profit,City,Small,48%,$31k,
"NEW ORLEANS, LA",Park Place Premier Barber School,Certificate,Private For-Profit,City,Small,38%,$12k,
"PHOENIX, AZ",Pathways College,Four,Private Nonprofit,City,Small,,,
"PURCELLVILLE, VA",Patrick Henry College,Four,Private Nonprofit,Town,Small,68%,,
"FARMINGTON HILLS, MI",Paul Mitchell the School-Farmington Hills,Certificate,Private For-Profit,City,Small,75%,$23k,
"PLANTATION, FL",Paul Mitchell the School-Fort Lauderdale,Certificate,Private For-Profit,Suburban,Small,,$23k,
"KENTWOOD, MI",Paul Mitchell the School-Grand Rapids,Certificate,Private For-Profit,City,Small,73%,$14k,
"MERRILLVILLE, IN",Paul Mitchell the School-Merrillville,Certificate,Private For-Profit,Suburban,Small,80%,$17k,
"PORTSMOUTH, NH",Paul Mitchell the School-Portsmouth,Certificate,Private For-Profit,Suburban,Small,75%,$26k,
"SAN JOSE, CA",Paul Mitchell the School-San Jose,Certificate,Private For-Profit,City,Small,,$26k,
"SCHENECTADY, NY",Paul Mitchell the School-Schenectady,Certificate,Private For-Profit,City,Small,74%,$25k,
"EOLIA, MO",Pike-Lincoln Technical Center,Certificate,Public,Rural,Small,84%,$6k,$49k
"SAINT GEORGE, UT",Paul Mitchell the School-St. George,Certificate,Private For-Profit,City,Small,66%,$16k,$38k
"CORVALLIS, OR",Phagans Beauty College,Certificate,Private For-Profit,City,Small,77%,$9k,$33k
"SHELBY, OH",Pioneer Career and Technology Center,Certificate,Public,Town,Small,,,$32k
"TWIN FALLS, ID",Paul Mitchell the School-Twin Falls,Certificate,Private For-Profit,City,Small,56%,$21k,$28k
"RICHMOND, IN",PJ's College of Cosmetology-Richmond,Certificate,Private For-Profit,Town,Small,57%,$18k,$24k
"GRANTS PASS, OR",Phagans Grants Pass College of Beauty,Certificate,Private For-Profit,City,Small,78%,$12k,$24k
"WATERFORD, MI",Port Huron Cosmetology College,Certificate,Private For-Profit,Suburban,Small,58%,$10k,$23k
"EL PASO, TX",Pipo Academy of Hair Design,Certificate,Private For-Profit,City,Small,,$6k,$20k
"PINEVILLE, LA",Pineville Beauty School,Certificate,Private For-Profit,Suburban,Small,60%,$13k,$19k
"GLASGOW, KY",PJ's College of Cosmetology-Glasgow,Certificate,Private For-Profit,Town,Small,34%,$19k,$19k
"PONCA CITY, OK",Ponca City Beauty College,Certificate,Private For-Profit,Town,Small,82%,$8k,$16k
"PEARLAND, TX",Pearlands Innovative School of Beauty,Certificate,Private For-Profit,Suburban,Small,100%,$20k,
"KINGSTREE, SC",Personal Touch Beauty and Barber College,Certificate,Private For-Profit,Town,Small,,$10k,
"POMPANO BEACH, FL",Pets Playground Grooming School,Certificate,Private For-Profit,City,Small,,,
"RICHTON PARK, IL",Phipps Academy of Barbering,Certificate,Private For-Profit,Suburban,Small,50%,$12k,
"WOODSIDE, DE",Polytech Adult Education,Certificate,Public,Suburban,Small,100%,,
"PONCE, PR",Ponce Health Sciences University-East,Four,Private For-Profit,City,Small,,$18k,
"COLUMBUS, OH",Pontifical College Josephinum,Four,Private Nonprofit,City,Small,38%,,
"PORTLAND, OR",Portland Actors Conservatory,Certificate,Private Nonprofit,City,Small,,$30k,
"JOLIET, IL",Professional's Choice Hair Design Academy,Certificate,Private For-Profit,Suburban,Small,84%,$16k,$30k
"ATLANTA, GA",Profile Institute of Barber-Styling,Certificate,Private For-Profit,City,Small,84%,$20k,$26k
"SAN JUAN, PR",Puerto Rico Conservatory of Music,Four,Public,City,Small,49%,$5k,$19k
"POWAY, CA",Poway Adult School,Certificate,Public,Suburban,Small,,,
"MCALESTER, OK",Premier Academy of Cosmetology,Certificate,Private For-Profit,Town,Small,51%,$18k,
"NORRISTOWN, PA",Premier Barber Institute,Certificate,Private For-Profit,Suburban,Small,66%,$20k,
"HOUSTON, TX",Premier Barber School,Certificate,Private For-Profit,City,Small,81%,$20k,
"BEND, OR",Premiere Aesthetics Institute,Certificate,Private For-Profit,City,Small,96%,$12k,
"MERIDIAN, ID",Premiere Aesthetics Institute-Meridian,Certificate,Private For-Profit,Suburban,Small,,,
"FORT MYERS, FL",Premiere International College,Two,Private For-Profit,City,Small,,,
"SANTA FE SPRINGS, CA",Presbyterian Theological Seminary in America,Four,Private Nonprofit,Suburban,Small,64%,,
"HALLANDALE BEACH, FL",Prestige Health & Beauty Sciences Academy,Certificate,Private For-Profit,Suburban,Small,94%,,
"REEDLEY, CA",Princess Institute of Beauty,Certificate,Private For-Profit,Town,Small,69%,$12k,
"ELSAH, IL",Principia College,Four,Private Nonprofit,Rural,Small,77%,,
"EDISON, NJ",Pro Beauty Academy,Certificate,Private For-Profit,Suburban,Small,63%,$26k,
"BUFFALO, NY",Professional Culinary Academy,Certificate,Private For-Profit,City,Small,50%,$37k,
"BAYAMON, PR",Puerto Rico Advance Institute,Certificate,Private Nonprofit,City,Small,,,
"EDISON, NJ",Rabbi Jacob Joseph School,Four,Private Nonprofit,Suburban,Small,4%,$6k,
