Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"PITTSBURGH, PA",Duquesne University,Four,Private Nonprofit,City,Medium,80%,$35k,$75k
"DES MOINES, IA",Drake University,Four,Private Nonprofit,City,Medium,79%,$30k,$72k
"KANSAS CITY, MO",Rockhurst University,Four,Private Nonprofit,City,Small,73%,$23k,$67k
"DULUTH, MN",The College of Saint Scholastica,Four,Private Nonprofit,City,Small,72%,$24k,$66k
"MILTON, MA",Laboure College of Healthcare,Two,Private Nonprofit,Suburban,Small,62%,,$62k
"ROCK ISLAND, IL",Trinity College of Nursing & Health Sciences,Four,Private Nonprofit,City,Small,74%,,$59k
"PITTSBURGH, PA",Western Pennsylvania Hospital School of Nursing,Certificate,Private Nonprofit,City,Small,63%,$20k,$56k
"FALLS CHURCH, VA",Standard Healthcare Services-College of Nursing,Certificate,Private For-Profit,Suburban,Small,81%,$36k,
"CHICAGO, IL",University of Chicago,Four,Private Nonprofit,City,Medium,96%,$19k,$92k
"WASHINGTON, DC",George Washington University,Four,Private Nonprofit,City,Medium,84%,$37k,$91k
"CHARLOTTESVILLE, VA",University of Virginia-Main Campus,Four,Public,Suburban,Large,93%,$23k,$87k
"HAMDEN, CT",Quinnipiac University,Four,Private Nonprofit,Suburban,Medium,78%,$39k,$84k
"BLACKSBURG, VA",Virginia Polytechnic Institute and State University,Four,Public,City,Large,87%,$24k,$82k
"ADA, OH",Ohio Northern University,Four,Private Nonprofit,Town,Medium,75%,$26k,$81k
"HOUGHTON, MI",Michigan Technological University,Four,Public,Town,Medium,73%,$16k,$78k
"UNIVERSITY OF RICHMOND, VA",University of Richmond,Four,Private Nonprofit,City,Medium,85%,$33k,$76k
"PLAINFIELD, NJ",JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,Certificate,Private Nonprofit,Suburban,Small,,$33k,$74k
"MADISON, WI",University of Wisconsin-Madison,Four,Public,City,Large,89%,$17k,$74k
"SAINT PAUL, MN",University of St Thomas,Four,Private Nonprofit,City,Medium,78%,$31k,$74k
